1,1,Bulbizarre,Plante,Poison,,,Base,Il a une étrange graine plantée sur son dos. Elle grandit avec lui depuis la naissance.,
2,1,Herbizarre,Plante,Poison,,,Niveau 1,"Alors que son bulbe grossit, il semble perdre son habilité à se tenir sur ses pattes.",
3,1,Florizarre,Plante,Poison,1,,Niveau 2,Sa plante mûrit en absorbant les rayons du soleil. Il migre souvent vers les endroits ensoleillés.,
4,1,Salamèche,Feu,,,,Base,"Il préfère les endroits chauds. En cas de pluie, de la vapeur se forme autour de sa queue.",
5,1,Reptincel,Feu,,,,Niveau 1,"En agitant sa queue, il peut augmenter le niveau de la température à un degré incroyable.",
6,1,Dracaufeu,Feu,Vol,2,,Niveau 2,Il peut fondre la roche de son souffle brûlant. Il est souvent la cause d'énormes incendies.,
7,1,Carapuce,Eau,,,,Base,Son dos durcit avec l'âge et devient une super carapace. Il peut cracher des jets d'écume.,
8,1,Carabaffe,Eau,,,,Niveau 1,Il se cache au fond de l'eau pour guetter sa proie. Ses oreilles sont des gouvernails.,
9,1,Tortank,Eau,,1,,Niveau 2,Un Pokémon brutal armé de canons hydrauliques. Ses puissants jets d'eau sont dévastateurs.,
10,1,Chenipan,Insecte,,,,Base,"Ses petites pattes sont équipées de ventouses, lui permettant de grimper aux murs.",
11,1,Chrysacier,Insecte,,,,Niveau 1,Il est vulnérable aux attaques tant que sa carapace fragile expose son corps tendre et mou.,
12,1,Papilusion,Insecte,Vol,,,Niveau 2,En combat il bat des ailes très rapidement pour jeter sur ses ennemis des poudres toxiques.,
13,1,Aspicot,Insecte,Poison,,,Base,Il se nourrit de feuilles dans les forêts. L'aiguillon sur son front est empoisonné.,
14,1,Coconfort,Insecte,Poison,,,Niveau 1,"Incapable de se déplacer de lui-même, il se défend en durcissant sa carapace.",
15,1,Dardargnan,Insecte,Poison,1,,Niveau 2,Il vole à très grande vitesse. Il se bat avec les dards empoisonnés de ses bras.,
16,1,Roucool,Normal,Vol,,,Base,Il est souvent vu dans les forêts. Il brasse l'air de ses ailes près du sol pour projeter du sable.,
17,1,Roucoups,Normal,Vol,,,Niveau 1,Il protège son territoire avec ardeur et repousse à coups de bec tout individu.,
18,1,Roucarnage,Normal,Vol,1,,Niveau 2,Il chasse en survolant la surface de l'eau et en plongeant pour attraper des proies faciles.,
19,1,Rattata,Normal,,,2,Base,"Sa morsure est très puissante. Petit et rapide, on en voit un peu partout.",
20,1,Rattatac,Normal,,,2,Niveau 1,"Si ses moustaches sont coupées, il perds le sens de son équilibre et devient moins rapide.",
21,1,Piafabec,Normal,Vol,,,Base,Il chasse les insectes dans les hautes-herbes. Ses petites ailes lui permettent de voler très vite.,
22,1,Rapasdepic,Normal,Vol,,,Niveau 1,Ses ailes géantes lui permettent de planer si longtemps qu'il ne se pose que très rarement.,
23,1,Abo,Poison,,,,Base,Il se déplace en silence pour dévorer des œufs de Roucool ou de Piafabec.,
24,1,Arbok,Poison,,,,Niveau 1,Les motifs féroces peints sur son corps changent selon son environnement.,
25,1,Pikachu,Electrique,,,,Niveau 1,"Quand plusieurs de ces Pokémon se réunissent, ils provoquent de gigantesques orages.",
26,1,Raichu,Electrique,,,2,Niveau 2,Il doit garder sa queue en contact avec le sol pour éviter toute électrocution.,
27,1,Sabelette,Sol,,,2,Base,Il s'enterre dans les régions arides et désertiques. Il émerge seulement pour chasser.,
28,1,Sablaireau,Sol,,,2,Niveau 1,Il se roule en boule hérissée de piques s'il est menacé. Il peut ainsi s'enfuir ou attaquer.,
29,1,Nidoran♀,Poison,,,,Base,Ce Pokémon est hérissé de dards empoisonnés. Les femelles ont des dards plus petits.,
30,1,Nidorina,Poison,,,,Niveau 1,La corne de la femelle grandit lentement. Elle préfère attaquer avec ses griffes et sa gueule.,
31,1,Nidoqueen,Poison,Sol,,,Niveau 2,Ses écailles très résistantes et son corps massif sont des armes dévastatrices.,
32,1,Nidoran♂,Poison,,,,Base,"Son ouïe très fine l'avertit du danger. Plus ses cornes sont grandes, plus son poison est mortel.",
33,1,Nidorino,Poison,,,,Niveau 1,"Très agressif, il est prompt à répondre à la violence. La corne sur sa tête est venimeuse.",
34,1,Nidoking,Poison,Sol,,,Niveau 2,"Sa queue est une arme redoutable, il s'en sert pour attraper sa proie et lui broyer les os.",
35,1,Mélofée,Fée,,,,Niveau 1,"Très recherché pour son aura mystique, il est très rare et ne vit que dans des endroits précis.",
36,1,Mélodelfe,Fée,,,,Niveau 2,Une sorte de petite fée très rare. Il se cache en apercevant un être humain.,
37,1,Goupix,Feu,,,2,Base,Il n'a qu'une seule queue à la naissance. Celle-ci se divise à la pointe au fil des ans.,
38,1,Feunard,Feu,,,2,Niveau 1,Très intelligent et rancunier. Attrapez-lui une de ses queues et il vous maudira pour 1000 ans.,
39,1,Rondoudou,Normal,Fée,,,Niveau 1,"Quand ses yeux s'illuminent, il chante une mystérieuse berceuse.",
40,1,Grodoudou,Normal,Fée,,,Niveau 2,"En cas de danger, il gonfle d'air son corps doux et potelé dans des proportions gigantesques.",
41,1,Nosferapti,Poison,Vol,,,Base,Se déplace en colonie dans les endroits sombres. Il s'oriente grâce aux ultrasons.,
42,1,Nosferalto,Poison,Vol,,,Niveau 1,"Une fois son adversaire mordu, il absorbera son énergie même s'il est trop gros pour voler.",
43,1,Mystherbe,Plante,Poison,,,Base,Pendant la journée il se cache sous la terre. Il s'aventure la nuit pour planter des graines.,
44,1,Ortide,Plante,Poison,,,Niveau 1,Le liquide qui coule de sa bouche est comestible. Il sert à appâter sa proie.,
45,1,Rafflesia,Plante,Poison,,,Niveau 2,"Plus ses pétales son grands, plus ils contiennent de pollen toxique.",
46,1,Paras,Insecte,Plante,,,Base,Les champignons sur son dos se nourrissent des nutriments de leur hôte insectoïde.,
47,1,Parasect,Insecte,Plante,,,Niveau 1,Une symbiose entre un parasite et un insecte. Le champignon a pris le contrôle de son hôte.,
48,1,Mimitoss,Insecte,Poison,,,Base,Il vit a l'ombre des grands arbres ou il mange des insectes. il est attiré par la lumière.,
49,1,Aéromite,Insecte,Poison,,,Niveau 1,Les motifs ocres de ses ailes changent en fonction de son type de poison.,
50,1,Taupiqueur,Sol,,,2,Base,Il vit a un mètre sous la terre et se nourrit de racines. Il apparaît rarement à la surface.,
51,1,Triopikeur,Sol,,,2,Niveau 1,"Quand un de ces triplets creuse à plus de 90Km/h, il provoque des tremblements de terre.",
52,1,Miaouss,Normal,,,3,Base,Il adore les pièces de monnaie. Il hante les rues à la recherche de pièces oubliées par les passants.,
53,1,Persian,Normal,,,2,Niveau 1,"Très apprécié pour sa fourrure, il est difficile à apprivoiser en raison de son caractère rétif.",
54,1,Psykokwak,Eau,,,,Base,Il distrait ses ennemis avec des grimaces débiles et les attaque ensuite avec ses pouvoirs Psy.,
55,1,Akwakwak,Eau,,,,Niveau 1,Il nage avec élégance le long des cotes. Il est souvent confondu avec le monstre japonais: Kappa.,
56,1,Férosinge,Combat,,,,Base,"Il se met en colère très vite. Calme ou furieux, son humeur change d'une seconde à l'autre.",
